AIN,PropertyUseCode,GeneralUseType,SpecificUseType,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HouseNo,StreetName,City,ZIPcode5,CENTER_LAT,CENTER_LON
2074008027,100,Residential,Single Family Residence,1959,1978,2548,3,4,20020118,"$355,131.00",2002,"$203,655.00",2002,"$558,786.00",4857,BRUGES AVE,LOS ANGELES CA,91364,34.1589997,-118.6245725
2074008028,100,Residential,Single Family Residence,1959,1967,1804,4,3,20070126,"$599,200.00",2007,"$150,800.00",2007,"$750,000.00",4849,BRUGES AVE,LOS ANGELES CA,91364,34.15902319,-118.6247967
2074008029,100,Residential,Single Family Residence,1959,1959,1246,3,2,20150914,"$440,640.00",2016,"$110,160.00",2016,"$550,800.00",4841,BRUGES AVE,LOS ANGELES CA,91364,34.15904218,-118.6250337
2074008030,100,Residential,Single Family Residence,1959,1959,1246,3,2,20140930,"$519,744.00",2015,"$202,036.00",2015,"$721,780.00",4840,BRUGES AVE,LOS ANGELES CA,91364,34.15850183,-118.6251723
2074008031,100,Residential,Single Family Residence,1959,1975,1799,3,3,20130802,"$358,131.00",2010,"$206,058.00",2010,"$564,189.00",4846,BRUGES AVE,LOS ANGELES CA,91364,34.15849174,-118.6249365
2074008032,100,Residential,Single Family Residence,1959,1963,1720,4,3,20040507,"$529,223.00",2004,"$132,303.00",2004,"$661,526.00",4854,BRUGES AVE,LOS ANGELES CA,91364,34.15847421,-118.6247116
2074008033,100,Residential,Single Family Residence,1959,1959,1248,3,2,20121025,"$365,739.00",2013,"$117,030.00",2013,"$482,769.00",4860,BRUGES AVE,LOS ANGELES CA,91364,34.15847876,-118.6244667
2074008036,100,Residential,Single Family Residence,1959,1965,1890,4,3,20090707,"$357,464.00",2010,"$319,870.00",2010,"$677,334.00",4872,BRUGES AVE,LOS ANGELES CA,91364,34.15877101,-118.623859
2074008037,100,Residential,Single Family Residence,1959,1959,1246,3,2,20050901,"$357,782.00",1992,"$79,731.00",1992,"$437,513.00",4876,BRUGES AVE,LOS ANGELES CA,91364,34.15900539,-118.6237099
2074008038,100,Residential,Single Family Residence,1959,1966,2152,3,3,19950606,"$154,742.00",1981,"$154,097.00",1981,"$308,839.00",22752,CAVALIER ST,LOS ANGELES CA,91364,34.15896429,-118.6234731
2074008039,100,Residential,Single Family Residence,1959,1959,1246,3,2,20131119,"$34,402.00",1975,"$43,518.00",1975,"$77,920.00",22746,CAVALIER ST,LOS ANGELES CA,91364,34.15874243,-118.6235229
2074008040,100,Residential,Single Family Residence,1959,1965,1520,3,2,20040730,"$461,500.00",2005,"$142,500.00",2005,"$604,000.00",22742,CAVALIER ST,LOS ANGELES CA,91364,34.1585636,-118.6235637
2074008041,100,Residential,Single Family Residence,1959,1959,1246,3,2,20150629,"$239,759.00",1999,"$270,153.00",1999,"$509,912.00",22738,CAVALIER ST,LOS ANGELES CA,91364,34.15839813,-118.6236072
2074009018,100,Residential,Single Family Residence,1959,1959,1260,3,2,20140314,"$455,452.00",2014,"$113,861.00",2014,"$569,313.00",22732,CAVALIER ST,LOS ANGELES CA,91364,34.15798069,-118.6231631
2074009019,100,Residential,Single Family Residence,1959,1962,1752,4,3,20000418,"$282,633.00",1992,"$70,836.00",1992,"$353,469.00",22728,CAVALIER ST,LOS ANGELES CA,91364,34.15799184,-118.6229457
2074009020,100,Residential,Single Family Residence,1959,1959,1248,3,2,20021113,"$167,218.00",2003,"$250,829.00",2003,"$418,047.00",22724,CAVALIER ST,LOS ANGELES CA,91364,34.15799381,-118.6227475
2074009021,100,Residential,Single Family Residence,1959,1960,1664,4,3,20111025,"$419,970.00",2010,"$291,842.00",2010,"$711,812.00",22720,CAVALIER ST,LOS ANGELES CA,91364,34.15798211,-118.6225439
2074009027,100,Residential,Single Family Residence,1962,1963,2807,5,2,20161028,"$522,300.00",2017,"$397,700.00",2017,"$920,000.00",4805,BURGUNDY RD,LOS ANGELES CA,91364,34.15696707,-118.6231089
2074009028,100,Residential,Single Family Residence,1990,1962,2858,4,3,20150219,"$590,265.00",2015,"$390,403.00",2015,"$980,668.00",4815,BURGUNDY RD,LOS ANGELES CA,91364,34.15725177,-118.6230261
2074010008,100,Residential,Single Family Residence,1967,1968,2489,4,5,20130517,"$477,042.00",2013,"$265,682.00",2013,"$742,724.00",22921,CASS AVE,LOS ANGELES CA,91364,34.15645238,-118.6221199
2074010015,100,Residential,Single Family Residence,1962,1962,1832,3,2,20140715,"$396,091.00",2014,"$184,842.00",2014,"$580,933.00",22931,CASS AVE,LOS ANGELES CA,91364,34.15630175,-118.6219318
2074010017,100,Residential,Single Family Residence,1962,1962,1452,3,2,20160713,"$507,000.00",2005,"$141,000.00",2005,"$648,000.00",22935,CASS AVE,LOS ANGELES CA,91364,34.15614913,-118.6221862
2074010018,100,Residential,Single Family Residence,1978,1978,1848,3,3,20021011,"$282,329.00",1992,"$153,422.00",1992,"$435,751.00",22943,CASS AVE,LOS ANGELES CA,91364,34.15591022,-118.6216463
2074010022,100,Residential,Single Family Residence,2003,2003,2854,4,4,20040727,"$451,000.00",2005,"$537,000.00",2005,"$988,000.00",4785,BURGUNDY RD,LOS ANGELES CA,91364,34.1563029,-118.6228951
2074010030,100,Residential,Single Family Residence,1964,1964,2404,3,3,20141021,"$490,127.00",2015,"$232,688.00",2015,"$722,815.00",4701,BURGUNDY RD,LOS ANGELES CA,91364,34.15454845,-118.6220063
2074010032,100,Residential,Single Family Residence,1975,1975,1962,4,3,19940420,"$36,095.00",1975,"$57,857.00",1975,"$93,952.00",23051,CASS AVE,LOS ANGELES CA,91364,34.15408872,-118.6208365
2074010038,100,Residential,Single Family Residence,1988,1988,2387,5,3,20131206,"$526,009.00",2014,"$350,672.00",2014,"$876,681.00",22759,PERA RD,LOS ANGELES CA,91364,34.15504492,-118.623016
2074010039,100,Residential,Single Family Residence,1976,1976,2104,3,3,20050215,"$299,712.00",2005,"$286,942.00",2005,"$586,654.00",22751,PERA RD,LOS ANGELES CA,91364,34.15442493,-118.6230796
2074010040,100,Residential,Single Family Residence,1977,1977,2283,3,2,19990203,"$358,889.00",1990,"$187,998.00",1990,"$546,887.00",22745,PERA RD,LOS ANGELES CA,91364,34.15464528,-118.6229619
2074010041,100,Residential,Single Family Residence,1980,1980,2773,4,3,20021211,"$229,615.00",2003,"$344,302.00",2003,"$573,917.00",22739,PERA RD,LOS ANGELES CA,91364,34.15459184,-118.6226651
2074010042,100,Residential,Single Family Residence,1980,1980,2572,4,3,20160629,"$578,294.00",2014,"$386,056.00",2014,"$964,350.00",22731,PERA RD,LOS ANGELES CA,91364,34.15460604,-118.622427
2074010046,100,Residential,Single Family Residence,1978,1978,3353,3,3,20051102,"$20,173.00",1975,"$232,430.00",1979,"$252,603.00",4660,BURGUNDY RD,LOS ANGELES CA,91364,34.1540746,-118.6211695
2074014004,100,Residential,Single Family Residence,1971,1971,2204,3,2,20030718,"$340,293.00",2001,"$142,683.00",2001,"$482,976.00",22748,PERA RD,LOS ANGELES CA,91364,34.15401014,-118.6231083
2074014006,100,Residential,Single Family Residence,1965,1965,2206,4,2,19900126,"$377,753.00",1990,"$178,567.00",1990,"$556,320.00",4677,BLACKFRIAR RD,LOS ANGELES CA,91364,34.15395904,-118.6225175
2074014009,100,Residential,Single Family Residence,1964,1964,2353,3,2,20160822,"$334,146.00",2017,"$137,490.00",2017,"$471,636.00",4647,BLACKFRIAR RD,LOS ANGELES CA,91364,34.15357641,-118.6224271
2074019001,100,Residential,Single Family Residence,1953,1953,1452,3,2,20070619,"$194,508.00",1999,"$48,621.00",1999,"$243,129.00",5107,RIGOLETTO ST,LOS ANGELES CA,91364,34.16335451,-118.624777
2074019002,100,Residential,Single Family Residence,1953,1953,1452,3,2,20090925,"$268,821.00",2010,"$248,354.00",2010,"$517,175.00",5101,RIGOLETTO ST,LOS ANGELES CA,91364,34.16322764,-118.6248419
2074019004,100,Residential,Single Family Residence,1967,1967,1323,3,2,19950504,"$91,944.00",1982,"$76,407.00",1982,"$168,351.00",22934,AVENUE SAN LUIS,LOS ANGELES CA,91364,34.16281839,-118.6263234
2074019005,100,Residential,Single Family Residence,1990,1990,2434,3,3,20160222,"$439,722.00",2016,"$202,878.00",2016,"$642,600.00",22938,AVENUE SAN LUIS,LOS ANGELES CA,91364,34.16272521,-118.6264872
2074019006,100,Residential,Single Family Residence,1963,1963,1825,4,3,20030627,"$369,882.00",2003,"$237,476.00",2003,"$607,358.00",22937,CRESPI ST,LOS ANGELES CA,91364,34.16255833,-118.6265716
2074019007,100,Residential,Single Family Residence,1976,1990,2504,4,4,20030529,"$212,969.00",1998,"$207,220.00",1998,"$420,189.00",22943,CRESPI ST,LOS ANGELES CA,91364,34.16251436,-118.626732
2074019008,100,Residential,Single Family Residence,1961,1961,1176,3,2,20101116,"$247,492.00",2011,"$171,986.00",2011,"$419,478.00",22953,CRESPI ST,LOS ANGELES CA,91364,34.16248259,-118.6269471
2074019009,100,Residential,Single Family Residence,1955,1955,1008,3,2,20141209,"$393,510.00",2015,"$98,376.00",2015,"$491,886.00",22933,CRESPI ST,LOS ANGELES CA,91364,34.1625119,-118.6263184
2074019012,100,Residential,Single Family Residence,1960,1960,1330,3,2,19960801,"$143,692.00",1997,"$59,772.00",1997,"$203,464.00",22911,CRESPI ST,LOS ANGELES CA,91364,34.16277544,-118.6258227
2074019015,100,Residential,Single Family Residence,1953,1953,1452,3,2,19950221,"$168,598.00",1995,"$55,709.00",1995,"$224,307.00",5063,RIGOLETTO ST,LOS ANGELES CA,91364,34.16309715,-118.624897
